from,to
Pofalla,DB
Praetorius,AE
Hasselfeldt,DRK
Kampeter,BDA
Kapferer,BDEW
Kempf,BDI
Nemat,Telekom
Reiche,VKU
Roestel,SD
Roestel,EnBW
Schweitzer,DIHT
Grothus,BfB
Wodtke,GZW
Herntier,TST
Priggen,LEE
Vassiliadis,IGBCE
Scheidt,Verdi
Scheidt,Eon
Koerzell,DGB
Kaiser,Greenpeace
Weiger,BUND
Niebert,DNR
Allmendinger,WZB
Schellnhuber,WBGU
Laemmel,PKM
Platzeck,SPD
Pofalla,CDU
Tillich,CDU
Hasselfeldt,CDU
Kampeter,CDU
Kapferer,FDP
Reiche,CDU
Roestel,Gruene
Schweitzer,FDP
Wodtke,CDU
Kreuzberg,CDU
Priggen,Gruene
Vassiliadis,SPD
Scheidt,SPD
Koerzell,SPD
Weiger,CDU
Laemmel,CDU
Lenz,CDU
Miersch,SPD